name,area,command,callsign,postcode,latitude,longitude,easting,northing
Addington,Croydon,SouthWestern Command,H26,CR0 0QA,51.3519192,-0.0236213,537724.6058688482,163280.62129882065
Battersea,Wandsworth,SouthWestern Command,H27,SW11 2TL,51.4671147,-0.1692937,527261.2987712376,175827.38013962453
Woodside,Croydon,SouthWestern Command,H28,CR0 7AL,51.3857831,-0.0621931,534939.3142911522,166974.62482355378
Purley,Croydon,SouthWestern Command,H29,CR8 4DB,51.331825,-0.1251504,530712.1540051616,160860.53034351318
Croydon,Croydon,SouthWestern Command,H31,CR0 1AR,51.3692161,-0.1055357,531971.1553492532,165053.53658724384
Norbury,Croydon,SouthWestern Command,H32,SW16 4AU,51.4067832,-0.1215921,530746.5104530662,169202.29560112167
Wandsworth,Wandsworth,SouthWestern Command,H33,SW18 1RL,51.4563832,-0.2014006,525060.5588669656,174578.73817859084
Wimbledon,Merton,SouthWestern Command,H34,SW19 1JN,51.4155878,-0.1974627,525445.7535528409,170048.8861635676
Tooting,Wandsworth,SouthWestern Command,H35,SW17 7SQ,51.4378274,-0.1627046,527800.651,172582.00700857298
Mitcham,Merton,SouthWestern Command,H36,CR4 4BJ,51.3972598,-0.1728234,527209.8624,168053.19939896738
Wallington,Sutton,SouthWestern Command,H37,SM6 8TE,51.3622744,-0.1482993,529014.0820777433,164205.57907410886
Sutton,Sutton,SouthWestern Command,H38,SM1 2JX,51.3688755,-0.2109096,524637.4902,164831.44466120418
Surbiton,Kingston upon Thames,SouthWestern Command,H39,KT6 6AF,51.3922391,-0.2980315,518512.9160188885,167285.21483573422
New Malden,Kingston upon Thames,SouthWestern Command,H40,KT3 4RW,51.3990179,-0.2453315,522161.28405985306,168125.47508179222
Kingston,Kingston upon Thames,SouthWestern Command,H41,KT2 5PR,51.4294937,-0.3065992,517821.12790072354,171414.27817402047
Richmond,Richmond upon Thames,SouthWestern Command,H42,TW9 4PN,51.4674072,-0.2848568,519233.83530021366,175665.5857266225
Twickenham,Richmond upon Thames,SouthWestern Command,H43,TW2 5NT,51.4351607,-0.3475775,514958.2984040062,171979.44105717505
